couleur,occurence
0,0
1,0
2,0
3,0
4,2
5,0
6,1
7,3
8,3
9,1
10,2
11,5
12,4
13,1
14,3
15,2
16,4
17,4
18,5
19,1
20,9
21,4
22,5
23,1
24,5
25,10
26,14
27,12
28,13
29,15
30,8
31,15
32,21
33,33
34,21
35,36
36,39
37,42
38,66
39,81
40,134
41,151
42,195
43,269
44,402
45,572
46,764
47,922
48,1182
49,1448
50,1749
51,2102
52,2430
53,2826
54,3391
55,3975
56,4670
57,5316
58,6181
59,6696
60,7357
61,8011
62,8657
63,9529
64,10358
65,11258
66,12791
67,15011
68,17159
69,19224
70,21129
71,22901
72,24426
73,25506
74,26680
75,27405
76,27820
77,27939
78,27441
79,26183
80,24770
81,23267
82,21569
83,19781
84,19532
85,17103
86,15577
87,14565
88,13626
89,12783
90,11995
91,11520
92,11021
93,10405
94,9738
95,9469
96,8803
97,8307
98,8046
99,7671
100,7361
101,7015
102,6605
103,6375
104,6294
105,6344
106,6173
107,6201
108,6247
109,6592
110,7159
111,7658
112,8493
113,9383
114,10194
115,10787
116,11431
117,11735
118,12017
119,12552
120,12515
121,12911
122,13642
123,13984
124,14962
125,15909
126,17103
127,18244
128,19614
129,22139
130,23573
131,25512
132,28477
133,30069
134,31324
135,31701
136,31828
137,30492
138,28081
139,25809
140,23694
141,21797
142,19845
143,18615
144,16937
145,16308
146,15046
147,14790
148,13907
149,14422
150,14082
151,14400
152,15284
153,14979
154,15330
155,15409
156,16135
157,15454
158,15639
159,15502
160,15584
161,16094
162,17467
163,18605
164,20024
165,21828
166,23854
167,24992
168,27228
169,27364
170,29203
171,28802
172,28607
173,27903
174,26915
175,25347
176,23598
177,22329
178,20156
179,18524
180,17073
181,14796
182,13439
183,11746
184,10687
185,9389
186,9006
187,7890
188,6988
189,6249
190,5603
191,5031
192,4540
193,4182
194,3770
195,3521
196,3427
197,3036
198,3098
199,2784
200,2610
201,2470
202,2266
203,2196
204,2171
205,2057
206,1961
207,1910
208,1860
209,1917
210,1891
211,1993
212,2088
213,2165
214,2215
215,2155
216,2330
217,2227
218,2190
219,2254
220,2111
221,2171
222,2115
223,2115
224,2159
225,2207
226,2226
227,2202
228,2215
229,2420
230,2554
231,2628
232,2904
233,3166
234,3620
235,4191
236,4997
237,5846
238,6949
239,8289
240,9534
241,10046
242,10319
243,10279
244,9880
245,9741
246,26542
247,7690
248,4495
249,3411
250,2903
251,2230
252,2102
253,2689
254,4960
255,30509
